File_Version	2
1	contestant-1	group-1	Team Orion 001	Mock University
2	contestant-2	group-1	Team Orion 002	Mock University
3	contestant-3	group-1	Team Orion 003	Mock University
4	contestant-4	group-1	Team Orion 004	Mock University
5	contestant-5	group-1	Team Orion 005	Mock University
6	contestant-6	group-1	Team Orion 006	Mock University
7	contestant-7	group-1	Team Orion 007	Mock University
8	contestant-8	group-1	Team Orion 008	Mock University
9	contestant-9	group-1	Team Orion 009	Mock University
10	contestant-10	group-1	Team Orion 010	Mock University
11	contestant-11	group-1	Team Orion 011	Mock University
12	contestant-12	group-1	Team Orion 012	Mock University
13	contestant-13	group-1	Team Orion 013	Mock University
14	contestant-14	group-1	Team Orion 014	Mock University
15	contestant-15	group-1	Team Orion 015	Mock University
16	contestant-16	group-1	Team Orion 016	Mock University
17	contestant-17	group-1	Team Orion 017	Mock University
18	contestant-18	group-1	Team Orion 018	Mock University
19	contestant-19	group-1	Team Orion 019	Mock University
20	contestant-20	group-1	Team Orion 020	Mock University
21	contestant-21	group-1	Team Orion 021	Mock University
22	contestant-22	group-1	Team Orion 022	Mock University
23	contestant-23	group-1	Team Orion 023	Mock University
24	contestant-24	group-1	Team Orion 024	Mock University
25	contestant-25	group-1	Team Orion 025	Mock University
26	contestant-26	group-1	Team Orion 026	Mock University
27	contestant-27	group-1	Team Orion 027	Mock University
28	contestant-28	group-1	Team Orion 028	Mock University
29	contestant-29	group-1	Team Orion 029	Mock University
30	contestant-30	group-1	Team Orion 030	Mock University
31	contestant-31	group-1	Team Orion 031	Mock University
32	contestant-32	group-1	Team Orion 032	Mock University
33	contestant-33	group-1	Team Orion 033	Mock University
34	contestant-34	group-1	Team Orion 034	Mock University
35	contestant-35	group-1	Team Orion 035	Mock University
36	contestant-36	group-1	Team Orion 036	Mock University
37	contestant-37	group-1	Team Orion 037	Mock University
38	contestant-38	group-1	Team Orion 038	Mock University
39	contestant-39	group-1	Team Orion 039	Mock University
40	contestant-40	group-1	Team Orion 040	Mock University
41	contestant-41	group-1	Team Orion 041	Mock University
42	contestant-42	group-1	Team Orion 042	Mock University
43	contestant-43	group-1	Team Orion 043	Mock University
44	contestant-44	group-1	Team Orion 044	Mock University
45	contestant-45	group-1	Team Orion 045	Mock University
46	contestant-46	group-1	Team Orion 046	Mock University
47	contestant-47	group-1	Team Orion 047	Mock University
48	contestant-48	group-1	Team Orion 048	Mock University
49	contestant-49	group-1	Team Orion 049	Mock University
50	contestant-50	group-1	Team Orion 050	Mock University
51	contestant-51	group-1	Team Orion 051	Mock University
52	contestant-52	group-1	Team Orion 052	Mock University
53	contestant-53	group-1	Team Orion 053	Mock University
54	contestant-54	group-1	Team Orion 054	Mock University
55	contestant-55	group-1	Team Orion 055	Mock University
56	contestant-56	group-1	Team Orion 056	Mock University
57	contestant-57	group-1	Team Orion 057	Mock University
58	contestant-58	group-1	Team Orion 058	Mock University
59	contestant-59	group-1	Team Orion 059	Mock University
60	contestant-60	group-1	Team Orion 060	Mock University
61	contestant-61	group-1	Team Orion 061	Mock University
62	contestant-62	group-1	Team Orion 062	Mock University
63	contestant-63	group-1	Team Orion 063	Mock University
64	contestant-64	group-1	Team Orion 064	Mock University
65	contestant-65	group-1	Team Orion 065	Mock University
66	contestant-66	group-1	Team Orion 066	Mock University
67	contestant-67	group-1	Team Orion 067	Mock University
68	contestant-68	group-1	Team Orion 068	Mock University
69	contestant-69	group-1	Team Orion 069	Mock University
70	contestant-70	group-1	Team Orion 070	Mock University
71	contestant-71	group-1	Team Orion 071	Mock University
72	contestant-72	group-1	Team Orion 072	Mock University
73	contestant-73	group-1	Team Orion 073	Mock University
74	contestant-74	group-1	Team Orion 074	Mock University
75	contestant-75	group-1	Team Orion 075	Mock University
76	contestant-76	group-1	Team Orion 076	Mock University
77	contestant-77	group-1	Team Orion 077	Mock University
78	contestant-78	group-1	Team Orion 078	Mock University
79	contestant-79	group-1	Team Orion 079	Mock University
80	contestant-80	group-1	Team Orion 080	Mock University
81	contestant-81	group-1	Team Orion 081	Mock University
82	contestant-82	group-1	Team Orion 082	Mock University
83	contestant-83	group-1	Team Orion 083	Mock University
84	contestant-84	group-1	Team Orion 084	Mock University
85	contestant-85	group-1	Team Orion 085	Mock University
86	contestant-86	group-1	Team Orion 086	Mock University
87	contestant-87	group-1	Team Orion 087	Mock University
88	contestant-88	group-1	Team Orion 088	Mock University
89	contestant-89	group-1	Team Orion 089	Mock University
90	contestant-90	group-1	Team Orion 090	Mock University
91	contestant-91	group-1	Team Orion 091	Mock University
92	contestant-92	group-1	Team Orion 092	Mock University
93	contestant-93	group-1	Team Orion 093	Mock University
94	contestant-94	group-1	Team Orion 094	Mock University
95	contestant-95	group-1	Team Orion 095	Mock University
96	contestant-96	group-1	Team Orion 096	Mock University
97	contestant-97	group-1	Team Orion 097	Mock University
98	contestant-98	group-1	Team Orion 098	Mock University
99	contestant-99	group-1	Team Orion 099	Mock University
100	contestant-100	group-1	Team Orion 100	Mock University
